date,rank,track_name,artist,streams,album_name,track_uri,weeks_on_chart,peak_rank,previous_rank,album_cover_url
2024-11-07,47,Presidente,"Gabito Ballesteros, Natanael Cano, Luis R Conriquez, Neton Vega",15327577,PRESIDENTE,spotify:track:4OLT65TRsOx3Iv1TlCcQVb,2,47,67,https://i.scdn.co/image/ab67616d0000b273f66501800b3a51af3bc69f8d
2024-11-07,48,End of Beginning,Djo,15192852,DECIDE,spotify:track:3qhlB30KknSejmIvZZLjOD,38,3,55,https://i.scdn.co/image/ab67616d0000b273fddfffec51b4580acae727c1
2024-11-07,49,Disease,Lady Gaga,14866876,MAYHEM,spotify:track:19KlZwqlT3fguP2BeHF1Q1,2,31,31,https://i.scdn.co/image/ab67616d0000b273b0860cf0a98e09663c82290c
2024-11-07,50,LA PATRULLA,"Peso Pluma, Neton Vega",14666356,ÉXODO,spotify:track:2aYZaN5SmkRDLsrrV8GkBQ,20,33,46,https://i.scdn.co/image/ab67616d0000b2732690127e1d6cd0aa35cc353b
2024-11-07,51,we can't be friends (wait for your love),Ariana Grande,14664337,eternal sunshine,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,35,1,54,https://i.scdn.co/image/ab67616d0000b2738b58d20f1b77295730db15b4
2024-11-07,52,i like the way you kiss me,Artemas,14618230,i like the way you kiss me,spotify:track:3JG1uFc40wfyrqaWC7iv0e,33,1,50,https://i.scdn.co/image/ab67616d0000b273e67611dbbf69a90d0b6cb738
2024-11-07,53,ESCAPATE,"Tito Double P, Chino Pacas",14589267,INCÓMODO,spotify:track:6HrALJOMsfPCCbUo5cJCON,9,39,51,https://i.scdn.co/image/ab67616d0000b27347e9618ef7411438f9c9478b
2024-11-07,54,Riptide,Vance Joy,14554144,Dream Your Life Away,spotify:track:2uXlHCUbq9OMUwx3hrk06o,195,30,52,https://i.scdn.co/image/ab67616d0000b273d3ce97395ff522b0d70c1094
2024-11-07,55,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",14513076,F-1 Trillion,spotify:track:5IZXB5IKAD2qlvTPJYDCFB,26,3,48,https://i.scdn.co/image/ab67616d0000b27388208159b1b3c69eefdeb2e0
2024-11-07,56,NIGHTS LIKE THIS,The Kid LAROI,14472051,THE FIRST TIME,spotify:track:1XBYiRV30ykHw5f4wm6qEn,20,42,57,https://i.scdn.co/image/ab67616d0000b2732abb30c6296964d5d07458c2
2024-11-07,57,Gata Only,"FloyyMenor, Cris Mj",14442715,Gata Only,spotify:track:2esZG2XFtuoWWA9AfDvSxy,39,3,49,https://i.scdn.co/image/ab67616d0000b273c4583f3ad76630879a75450a
2024-11-07,58,Cruel Summer,Taylor Swift,14185019,Lover,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,92,2,65,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
2024-11-07,59,Iris,The Goo Goo Dolls,14022946,Dizzy up the Girl,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,62,40,72,https://i.scdn.co/image/ab67616d0000b273eda9478c39a21e1cdc6609ca
2024-11-07,60,Diet Pepsi,Addison Rae,13866023,Diet Pepsi,spotify:track:6MzofobZt2dm0Kf1hTThFz,10,32,33,https://i.scdn.co/image/ab67616d0000b2734e5a5862355a5e953549292b
2024-11-07,61,Kill Bill,SZA,13759016,SOS,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,100,1,59,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5
2024-11-07,62,HOT TO GO!,Chappell Roan,13755203,The Rise and Fall of a Midwest Princess,spotify:track:4xdBrk0nFZaP54vvZj0yx7,21,22,63,https://i.scdn.co/image/ab67616d0000b273a21d22ecf823e1c90aa22d1f
2024-11-07,63,Embrace It,Ndotz,13748775,Embrace It,spotify:track:0io16MKpbeDIdYzmGpQaES,8,28,47,https://i.scdn.co/image/ab67616d0000b273536637d541ec8a43842ef126
